Agency Name,County,Phone Number,Hours of Operation,Location,Additional Address Info.
Urban League Metropolitan St. Louis,St. Louis City,314-615-3654,Tues-Thurs 2:00-4:30,"935 Vandeventer
St. Louis, MO 63108
(38.644863, -90.236693)",
"Phelps County Faith Distribution, Inc.",Phelps,573-368-3040,3rd Sat 8:00-12:00,"1390 South Bishop
Rolla, MO 65401
(37.919784, -91.779724)",
Black River Church Food Pantry,Reynolds,573-474-5819,4th Tues 9:00-12:00,"43 County Road 818
Black, MO 63625
(37.56307, -90.95841)",
Shining Light Outreach Pantry,Mississippi,573-683-0363,3rd Sat 1:00-4:00,"721 West Marshall
Charleston, MO 63834
(36.920829, -89.365737)",
Coronation Of Our Lady Parish,Jackson,816-761-8811,"Mon, Wed, & Thurs 1:00-3:00","13000 Bennington
Grandview, MO 64030
(38.886481, -94.516615)",
Salvation Army,Cape Girardeau,573-335-7000,Tues 9:00-12:00 & Thurs 1:00-3:00,"701 Good Hope
Cape Girardeau, MO 63702
(37.299631, -89.527689)",
Nevada Community Outreach,Vernon,417-667-4339,"Mon-Fri 9:00-12:00, 1:00-4:00","229 North Cedar
Nevada, MO 64772
(37.839541, -94.35657)",
Ladies Of Charity,Perry,573-468-5423,"Mon 8:00-11:00, Thurs 4:30-7:00","919 West St. Joseph Street
Perryville, MO 63775
(37.725657, -89.874375)",
Madison County Food Pantry,Madison,573-783-2074,Tues & Thurs 1:00-3:00,"715 Star Lane
Fredericktown, MO 63645
(37.568219, -90.2755)",
Urban League Of St. Louis County,St. Louis Co,314-388-9840,Tues-Thurs 2:00-4:00,"8960 Jennings Station Road
Jennings, MO 63136
(38.72658, -90.245748)",
Gallatin 7Th Day Adventist Church,Daviess,660-663-4335,Wed 8:00-3:00,"1206 South Willow
Gallatin, MO 64640
(39.903962, -93.957649)",
St. Clair County Food Pantry,St. Clair,417-646-8305,Tues 10:00-4:00 (but no 5th Tues),"5th Street & Market Street
Osceola, MO 64776
(38.044639, -93.701787)",
Stoddard Co. Gospel Mission,Stoddard,573-624-8979,Tues-Thurs 9:00-12:00 & 1:00-3:00,"207 North One Mile Road
Dexter, MO 63841
(36.796053, -89.970522)",
Holden Area Ministerial Association-Hama,Johnson,816-850-4999,"Tues, Wed, Thurs 9:00-11:00, Sat 5:00-7:00","703 South Olive Street
Holden, MO 64040
(38.712717, -93.992564)",
Salvation Army - Kirksville,Adair,660-988-1661,"Mon, Wed, & Fri 9:00 - 12:00","1004 West Gardner Street
Kirksville, MO 63501
(40.201039, -92.593879)",
C-Street Connect Food Pantry,Greene,417-831-1818,2nd & 4th Tues 1:00-4:00,"1616 North Robberson
Springfield, MO 65803
(37.227932, -93.290592)",
Mercer County Food Pantry,Mercer,660-365-0228,4th Tues 9:00-11:00,"804 East Main
Princeton, MO 64673
(40.397015, -93.585442)",
Community Outreach Ministries-Boliver (prev Salvation Army - Bolivar Pantry),Polk,417-326-2769,"Tues 5:30-7:30, Thurs & Sat 10:00-1:00","320 South Market
Bolivar, MO 65613
(37.612918, -93.409116)",
Miller Christian Service Center,Lawrence,417-452-3499,2nd Tues 12:00-3:00 and Wed 12:00-1:30,"111 West Main Street
Miller, MO 65707
(37.214388, -93.842593)",
First Baptist Church - West Plains,Howell,417-256-3128,Mon & Wed 9:00-12:00,"120 Walnut Street
West Plains, MO 65775
(36.72797, -91.851412)",
Meramec Community Mission,Franklin,573-468-5813,1st & 3rd Wed 10:00-4:00,"200 West Main
Sullivan, MO 63080
(38.209072, -91.160862)",
Center Community Food Pantry,Ralls,573-248-6096,3rd Thursday 10:00-12:00,"415 S Public St
Center, MO 63436
(39.504663, -91.529078)",
Jewish Family & Children Services,St. Louis Co,314-993-1000,Mon-Fri 8:45-4:00,"10601 Baur
St. Louis, MO 63132
(38.685172, -90.394566)",
Andrew County Ministries Food Pantry,Andrew,816-324-3008,"Mon - 2:00-4:00, Tues - 10:00-12:00, 2:30-4:30, Wed - 2:30-4:30, Fri - 10:00-12:00 closed the 1st week of the month","14375 County Road 367
Savannah, MO 64485
(39.93426, -94.861016)",
St. Susanne Catholic Church,Lawrence,417-466-7536,3rd Wed 10:00-11:00 & Previous Mon 6:00-7:00,"700 West Sloan (Highway V West)
Mt. Vernon, MO 65712
(37.10367, -93.81854)",
Reynolds County Food Pantry,Reynolds,573-663-7395,3rd Tues 8:00-1:00,"380 South Main Street
Ellington, MO 63638
(37.238883, -90.970329)",
Church Of Christ Food Pantry,Cedar,417-876-3661,Thurs following 3rd Wed 8:00-10:30,"302 East Hospital Road
El Dorado Springs, MO 64744
(37.859403, -94.019867)",
Community Action Agency of Greater KC,Platte,816-858-5153,Mon-Fri 8:00-11:30 & 1:00-4:30,"412 Aller Street
Tracy, MO 64079
(39.378969, -94.794514)",
Open Bible Church,Caldwell,816-284-5120,Thurs 11:00-3:00,"718 West Berry Street
Hamilton, MO 64644
(39.742176, -94.005595)",
Community Services League,Jackson,816-229-0033,Mon & Wed 9:00-12:00 & 1:00-4:00; Fri 9:00-12:00,"200 Southwest 10th Street
Blue Springs, MO 64015
(39.017244, -94.276708)",
Putnam County Ministerial Alliance,Putnam,573-470-0209,After 1st Mon; 2nd Tues 9:00-12:00 & 1:00-4:00 & 2nd Thurs 10:00-12:00 & 1:00-4:00,"1509 Main Street
Unionville, MO 63565
(40.47697, -93.000903)",
Episcopal Community Services St Paul'S Food Pantry,Jackson,816-931-2850,3rd Sat 10:00-12:00,"11 East 40Th Street
Kansas City, MO 64111
(39.054159, -94.586112)",
Schuyler County Food Room,Schuyler,660-626-6171,Fri & following Mon after the 2nd Wed 9:00-12:00 & 1:00-4:00,"105 E North Park Street
Lancaster, MO 63548
(40.525437, -92.523246)",
CAM Forsyth (Prev CAM Food Pantry Of Forsyth My Neighbors Pantry),Taney,417-251-0260,"Tues-Thurs 10:00-1:00, Closed every 4th Tues","10726 State Highway 76
Forsyth, MO 65740
(36.671453, -93.096453)",Suite E
Open Door Pantry,Dunklin,573-717-0113,Mon-Thurs 9:00-1:30,"203 Elm St
Holcomb, MO
(36.404433, -90.023747)",
Salvation Army Pantry,Buchanan,816-232-5824,Mon-Thurs 9:00-1:00 & Fri 9:00-12:00,"622 Messanie
St. Joseph, MO 64501
(39.76254, -94.85238)",
Speac-Southern Platte Emergency Assistance Ctr,Platte,816-746-1057,"Mon, Wed & Thurs 1:00 -3:00;  Tues 10:00-12:00","819 Main Street
Parkville, MO 64152
(39.193181, -94.683659)",
Carthage Crosslines Ministry,Jasper,417-358-1577,Tues-Thurs 9:00-4:00,"600 East 6th Street
Carthage, MO 64836
(37.174624, -94.306162)",
Community Services - Worth Co. (Caa),Worth,660-564-2182,Tues & Thurs 8:30-4:00,"15 East 4th Street
Grant City, MO 64456
(40.485528, -94.414267)",
Desoto Food Pantry,Jefferson,636-586-7300,2nd Sat 8:00-11:00,"705 East Stone
Desoto, MO 63020
(38.131454, -90.548078)",
Living Faith Church,Jefferson,636-937-4999,2nd Tues 7:00-11:00,"2170 Buck Creek Road
Festus, MO 63028
(38.212066, -90.423293)",
St. Nicholas Church,St. Louis City,314-231-2860,Mon 12:00-1:30,"701 North 18th Street
St. Louis, MO 63017
(38.634844, -90.204285)",
Celebrate Recovery/FDC of Perryville,Perry,573-547-5466,Tues & Thurs 10:00-12:00,"416 North Main Street
Perryville, MO 63775
(37.729502, -89.862364)",
Feed My People (South County),St. Louis Co,314-631-4900,Mon-Fri 10:00-2:00,"171 Kingston
St. Louis, MO 63125
(38.520081, -90.279952)",
Bread of Life,Lincoln,636-528-3646,"Wed 10:00-1:00, Last Wed 4:00-6:30","820 Cap Au Gris
Troy, MO 63379
(38.978887, -90.971212)",
Crosslines - Joplin,Jasper,417-782-8384,"Mon 4:00-7:00, Wed 10:00-2:00","320 S. School Avenue
Joplin, MO 64802
(37.088464, -94.501413)",
North Stone County Food Pantry,Stone,417-723-5636,TEFAP W 8:00-12:00 (but no 5th Wed),"215 North Main
Crane, MO 65633
(36.905085, -93.572804)",
Community Services League,Jackson,816-690-8213,Tues & Thurs 9:00-12:00 & 1:00-4:00,"1408 Southeast Austin Street
Oak Grove, MO 64050
(39.002333, -94.128074)",
Calvary Full Gospel Pantry,Dunklin,573-281-0590,3rd Sat 10:00-12:00,"417 Main St
Cardwell, MO 63829
(36.044885, -90.292607)",
Scotland County Food Pantry,Scotland,660-341-0611,Fri after 1st Wed 8:00-2:00,"722 North Clay Street
Memphis, MO 63555
(40.468108, -92.172101)",
Guardian Angel Settlement House,St. Louis City,314-773-9027,Mon-Fri 9:00-3:30,"3300 S Jefferson
St. Louis, MO 63118
(38.594324, -90.224802)",
Powell Terrace Food Pantry,St. Charles,636-724-0032,"Mon, Wed & Fri 8:00-11:00","704 Boone Avenue
St. Charles, MO 63301
(38.780433, -90.500149)",
Shepherds Nook Lifeway Center,Dent,573-247-0165,"9:00-1:30 Tues, Wed, Thurs following the 1st Fri of the month, then Tues, Thurs of the following week","701 North Main
Salem, MO 65560
(37.64769, -91.536271)",
Salvation Army - Grandview,Jackson,816-763-3244,"Mon, Tues, Wed & Fri 9:00-12:00 & 1:00-4:00; Thurs 9:00-12:00","6111 East 129Th Street
Grandview, MO 64030
(38.891525, -94.521329)",
Lewis County Food Pantry,Lewis,314-285-2260,"After the 1st Tues, Wed 9:00-12:00 & 1:00-6:00","407 North 6th Street
Canton, MO 63435
(40.133167, -91.521646)",
The Help Center,Audrain,573-581-3238,Every Wed 9:00-12:00,"409 Fairground
Mexico, MO 65265
(39.1694, -91.896787)",
Good Samaritan Center,Clay,816-630-2718,"Mon, Wed & Fri 9:30-12:00 & 1:00-3:30 Thur by Appt","108 Thompson
Excelsior Springs, MO 64024
(39.341959, -94.22488)",
We Care Ministries,Pemiscot,573-724-0480,Sat 8:00-10:00,"115 South Walnut
Steele, MO 63877
(36.083817, -89.829711)",
Friendship Ch. Of God In Christ,New Madrid,573-521-7150,2nd Sat 9:00-11:00,"7461 US Highway 61 North
Howardville, MO 63867
(38.3295968, -90.3978253)",
Bishop Sullivan Center (formerly St. James Social Services),Jackson,816-561-8515,Mon-Thurs 9:00-12:30,"3934 Troost
Kansas City, MO 64110
(39.054894, -94.572177)",
Community Food Pantry Of Grundy Co,Grundy,660-339-7099,"Wed & Thurs following the 2nd Mon 9:00-12:00, 1:00-3:00","1703 Harris Avenue
Trenton, MO 64683
(40.081898, -93.609101)",
Hope Ministries,St. Charles,636-332-5127,"Wed 4:00-6:00, Fri 10:00-12:00","9 Love Park Lane
Wentzville, MO 63385
(38.832914, -90.843223)",
St. Vincent Depaul - Ste. Genevieve,Ste. Genevieve,573-883-2478,Thurs 9:00-11:00 (Except 5th Thurs),"305 Merchant Street
Ste. Genevieve, MO 63670
(37.97971, -90.04626)",
In As Much,Clay,816-781-6357,Thurs 10-11:30 1:00-2:30 & Sat 9:00-12:00,"2050 Plumbers Way
Liberty, MO 64068
(39.253929, -94.454256)",#190
Neighbors Helping Neighbors,Cooper,660-537-2183,"1st Tues 8:00-10:30, 2nd Thurs 6:00-8:00","509 East Water Street
Boonville, MO 65233
(38.978622, -92.744823)",
Stoddard County Gospel Mission - Advance Office,Stoddard,573-624-8979,Thurs 9:00-4:00,"104 S Garrett St
Advance, MO 63730
(37.105383, -89.905984)",
Help - Harmonized Efforts To Lessen Poverty,Carroll,660-542-0321,Tues & Fri 9:00-11:45 & 1:00-5:00,"12 South Monroe
Carrollton, MO 64633
(39.358974, -93.497898)",
Family Worship Center,Andrew,816-279-4635,Sat 10:00-12:00,"12293 County Road 438
St. Joseph, MO 64505
(39.865031, -94.820333)",John Glenn Road
Peace Pantry,Jefferson,636-285-0934,Wed 6:30-7:30 & Thurs 8:30-11:30,"8100 South Industrial Drive
Cedar Hill, MO 63016
(38.35032, -90.650675)",
St. Joseph Catholic Church - Svdp,St. Francois,573-358-2112,Mon & Fri 9:00-11:00; 3rd Tues 5:00-6:00,"20 Saint Joseph
Bonne Terre, MO 63628
(37.924534, -90.554124)",
La Plata Christian Ministries,Macon,660-341-8475,After 2nd Tues; Thurs 9:00-12:00 & 5:00-8:00; Fri 9:00-12:00 & 1:00-4:00,"29296 July Road
La Plata, MO 63549
(40.013687, -92.487598)",
Metro Lutheran Ministries Central,Jackson,816-931-0027,Mon-Fri 8:30-11:00,"3031 Holmes
Kansas City, MO 64109
(39.071942, -94.576491)",
United Voice Of Zion,Dunklin,573-281-6228,1st Sat 9:00-12:00,"2780 North Douglas St
Malden, MO 63863
(36.597745, -89.970141)",
Ministries In Linn County Food Pantry,Linn,660-258-7071,Mon-Fri 9:00-11:00,"122 West Clark
Brookfield, MO 64628
(39.781749, -93.073484)",
Verona Baptist Church,Lawrence,417-498-6531,2nd Tues 10:00-12:00,"115 South First Street
Verona, MO 65789
(36.963614, -93.793756)",
Arcadia Valley Food Pantry,Iron,573-546-3518,Tues & Thurs 9:00-11:00,"432 West Maple
Pilot Knob, MO 63650
(37.620187, -90.644003)",
Good Samaritan - Waynesville,Pulaski,573-774-5011,"Mon, Wed & Fri 9:00-5:00","1811 Historic Route 66
Waynesville, MO 65584
(37.813077, -92.229589)",
Saint John's Catholic Food Pantry,Audrain,573-373-2349,3rd Tues 9:00-11:00,"601 Elm
Laddonia, MO 63352
(39.238811, -91.64042)",
Community Action Agency Of St. Louis County,St. Louis Co,314-863-0015,Mon-Fri 8:00-3:00 Plus Emergencies,"2709 Woodson Road
St. Louis, MO 63114
(38.707379, -90.361053)",
Qulin Food Pantry,Butler,573-328-4305,3rd Tues 8:00-10:30,"475 2nd Street
Qulin, MO 63961
(36.597273, -90.247285)",
St. Vincent Depaul Society,St. Charles,636-327-8787,Mon & Thurs 9:00-12:00; Tues & Wed 6:30-7:30,"230 4th Street
Wentzville, MO 63385
(38.809171, -90.855026)",
Least Of These,Christian,417-724-2500,"Mon, Wed & Fri 8:00-1:00 & 2nd Wed 4:00-6:00","1720 James River Rd
Ozark, MO 65721
(37.072079, -93.225744)",
Macon County Ministrial Alliance,Macon,660-395-3663,3rd Tues 12:00-6:00,"305 Sunset Hills Drive
Macon, MO 63552
(39.740765, -92.491631)",
St. Francis Xavier Catholic Church,Jackson,816-523-5115,"Mon,Wed,Thurs & Fri 9:30-4:30","1001 East 52nd Street
Kansas City, MO 64110
(39.032661, -94.574308)",
Oacac - Dade County (Caa),Dade,417-637-2701,Fri 9:00-3:00 after 1st Thurs,"2 North Main
Greenfield, MO 65661
(37.415908, -93.840353)",
Community Services League,Jackson,816-254-0446,Tues & Thurs 9:00-11:00 & 1:00-3:00,"800 South Hardy
Fairmont, MO 64050
(39.09925, -94.455448)",
